epoch,train_loss,loss,dice,iou,precision,recall,f1
1,1.1138533741708785,1.0312881607275743,0.699233930844527,0.571899794615232,0.5914832697464869,0.9097908689425542,0.6992338666549096
2,0.8876524614909339,0.8451307278413039,0.8046447680546687,0.70815110206604,0.7465689824177668,0.8918258456083444,0.8046446992800786
3,0.8036239185030498,0.7670024450008686,0.834805612380688,0.7550153823999258,0.807556688785553,0.878919624365293,0.8348055619459885
4,0.7517060921305702,0.7310658693313599,0.8167457305468045,0.7256153500997103,0.7620168374134944,0.8965284503423251,0.8167456846970779
5,0.703690180702815,0.6747572055229774,0.8420381362621601,0.7656655403283926,0.8336212359941922,0.8724464590732868,0.8420380629025973
6,0.6686950321235354,0.6776943115087656,0.8497733703026404,0.778859399832212,0.8428605015461261,0.8668922094198374,0.8497733106979957
7,0.6380181889685373,0.6221891504067641,0.8316335357152499,0.7484480096743658,0.7998041969079238,0.8792496919631958,0.8316334806955777
8,0.6081527088369642,0.5667179433199075,0.8422166384183444,0.7661109887636625,0.8789378588016217,0.865379484800192,0.8422165696437542
9,0.5701213512155745,0.5305313766002655,0.8552790238307073,0.7833808706356928,0.8532013938977168,0.8725753747499906,0.8552789688110352
10,0.5331851683911824,0.5118040029819195,0.8686699592150174,0.7925281157860389,0.8612291171000555,0.8833632010679978,0.868669908780318
11,0.5146196569715228,0.5898269598300641,0.8252692222595215,0.7239217528930078,0.7535930826113775,0.9261133028910711,0.8252691626548767
12,0.4889957341882918,0.4569096588171445,0.8755739239545969,0.7978498798150283,0.8596861270757822,0.9114537330774161,0.8755738689349248
13,0.45819791678398375,0.44869861694482654,0.865749675493974,0.7872584049518292,0.8713181752424973,0.8781926310979403,0.8657496158893292
14,0.44547969812438604,0.5186469279802762,0.8446335104795603,0.7658653488525977,0.8532685545774606,0.8668535535152142,0.8446334417049701
15,0.4330191560207851,0.451152503490448,0.870403005526616,0.7837583285111648,0.8708393757159894,0.8882156243691077,0.8704029505069439
16,0.41575868072963895,0.35462876695853013,0.8573399094434885,0.7788472496546232,0.883358203447782,0.8617347341317397,0.8573398590087891
17,0.38242301486787345,0.34885504383307236,0.8779310629918025,0.798553113753979,0.8552434077629676,0.9199391420070941,0.8779309988021851
18,0.3636386895936633,0.34337116663272566,0.8792983018434964,0.7954486562655523,0.8596960810514597,0.9101310188953693,0.8792982468238244
19,0.3478886858811454,0.319547658929458,0.8821246073796198,0.8076397776603699,0.885706942815047,0.8870248657006484,0.8821245523599478
20,0.33375591843847247,0.29528036828224474,0.8889609483572153,0.810045810846182,0.8761010766029358,0.9119112308208759,0.8889608612427344
21,0.3262830546924046,0.3245101146973096,0.8875808394872226,0.8110168530390813,0.8848193287849426,0.9036782659017123,0.8875807569577143
22,0.318590510932226,0.27565097235716307,0.8767682038820707,0.7999142087422885,0.9160657387513381,0.8605681245143597,0.876768158032344
23,0.3068650189846281,0.2659977892270455,0.8908322820296655,0.8149235844612122,0.914867667051462,0.8782093112285321,0.890832217840048
24,0.30418760932627176,0.2732244156874143,0.8868229205791767,0.8091673254966736,0.9194955642406757,0.8669551702646109,0.8868228655595046
25,0.2881990798882076,0.26428702817513394,0.8823786928103521,0.8051601006434514,0.9256616188929632,0.8578749895095825,0.8823786286207346
26,0.28503928676484125,0.2551253128510255,0.888963364637815,0.8143377028978788,0.90521790431096,0.8834464825116671,0.8889633050331702
27,0.2731762748389017,0.26104104862763333,0.8880448983265803,0.810465776003324,0.9100782779546884,0.8793445504628695,0.8880448524768536
28,0.28053737254369826,0.2300301411977181,0.8925584921470056,0.816534895163316,0.9114969281049875,0.8835403323173523,0.892558427957388
29,0.26447108979263,0.22618220517268547,0.8956657418837914,0.8196775959088252,0.9205005306463975,0.8800299580280597,0.895665691449092
30,0.2599390558307133,0.2187148263821235,0.8930053114891052,0.8185736766228309,0.912613584445073,0.8841102077410772,0.8930052702243512
